type,device,name
iec-60320-c14,switch-mgmt-rack1 - S3148,p1
iec-60320-c14,switch-mgmt-rack1 - S3148,p2
iec-60320-c14,switch-access-rack1-1 - EMC S5224,p1
iec-60320-c14,switch-access-rack1-1 - EMC S5224,p2
iec-60320-c14,switch-access-rack2-1 - EMC S5224,p1
iec-60320-c14,switch-access-rack2-1 - EMC S5224,p2
iec-60320-c14,front-rack2 - R640 - 4 disks,p1
iec-60320-c14,front-rack2 - R640 - 4 disks,p2
iec-60320-c14,monitor-rack2-1 - R640 - no disks,p1
iec-60320-c14,monitor-rack2-1 - R640 - no disks,p2
iec-60320-c14,monitor-rack2-2 - R640 - no disks,p1
iec-60320-c14,monitor-rack2-2 - R640 - no disks,p2
iec-60320-c14,osd-rack2-1 - R740xd,p1
iec-60320-c14,osd-rack2-1 - R740xd,p2
iec-60320-c14,osd-rack2-2 - R740xd,p1
iec-60320-c14,osd-rack2-2 - R740xd,p2
iec-60320-c14,osd-rack2-3 - R740xd,p1
iec-60320-c14,osd-rack2-3 - R740xd,p2
iec-60320-c14,osd-rack2-4 - R740xd,p1
iec-60320-c14,osd-rack2-4 - R740xd,p2
iec-60320-c14,osd-rack2-5 - R740xd,p1
iec-60320-c14,osd-rack2-5 - R740xd,p2
iec-60320-c14,osd-rack2-6 - R740xd,p1
iec-60320-c14,osd-rack2-6 - R740xd,p2
iec-60320-c14,osd-rack2-7 - R740xd,p1
iec-60320-c14,osd-rack2-7 - R740xd,p2
iec-60320-c14,osd-rack2-8 - R740xd,p1
iec-60320-c14,osd-rack2-8 - R740xd,p2
iec-60320-c14,osd-rack2-9 - R740xd,p1
iec-60320-c14,osd-rack2-9 - R740xd,p2
iec-60320-c14,osd-rack2-10 - R740xd,p1
iec-60320-c14,osd-rack2-10 - R740xd,p2
